Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas1                 Pavarde1                      9         1         9        10         8         7         5
Vardas2                 Pavarde2                      5         4         9         7         2         3         3
Vardas3                 Pavarde3                      5         5         6         5         8         4         3
Vardas4                 Pavarde4                      7         1         7         4         2         4         1
Vardas5                 Pavarde5                      1         8         2         6        10         4        10
Vardas6                 Pavarde6                      6         1         3         2         3         3         5
Vardas7                 Pavarde7                      1         8         7         4         8         2         8
Vardas8                 Pavarde8                      4         6         4         5         5        10         7
Vardas9                 Pavarde9                      8         1         9         3         1         7         5
Vardas10               Pavarde10                      2         3        10         9        10         6         2
